,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,FINALS SCORE,,,,  TEAM,PPG,RPG,APG,SPG,BPG,TPG,,,,,,
,  Andrew,322,,,  Andrew,17.9,5.1,5.3,1.4,1.0,46.0,,,,,,
,  Chris ,296,,,  Chris ,16.3,6.3,4.1,1.1,0.6,42.3,,,,,,
,  Foram ,325,,,  Foram ,19.1,5.9,3.3,2.3,0.7,46.4,,,,,,
,  Jake,296,,,  Jake,17.4,4.1,3.1,1.6,1.9,42.3,,,,,,
,  Mark,256,,,  Mark,15.6,5.4,2.3,1.4,0.4,36.6,,,,,,
,  -,0,,,  -,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
,  Todd,256,,,  Todd,16.4,5.0,2.3,1.1,0.7,36.6,,,,,,
,  Tyler,341,,,  Tyler,19.9,8.7,4.0,0.3,0.9,48.7,,,,,,
,,,,,,,,,,,,,,,,,
,GAME,TEAM,PICK,NBA Player,,PTS,REB,AST,STL,BLK,TOT,,     OKC,,,,4
,1,  Andrew,3,Jalen Williams ,,17,4,6,1,0,40,,,,,,
,,  Chris ,5,Pascal Siakam,,19,10,3,0,1,48,,     IND,,,,3
,,  Foram ,1,Shai Gilgeous-Alexander,,38,5,3,3,0,63,,,,,,
,,  Jake,6,AJ Mitchell,,0,3,0,0,0,6,,,,,,
,,  Mark,7,Isaiah Hartenstein,,9,9,0,1,0,30,,,,,,
,,  -,,-,,,,,,,0,,RULES,,,,
,,  Todd,4,Chet Holmgren,,6,6,0,0,1,21,,,,,,
,,  Tyler,2,Tyrese Haliburton,,14,10,6,0,1,49,,Before each game each person will choose 1 NBA player from either team. The player must be active for the game. You can only use a player once during the Finals.                                        ,,,,
,2,  Andrew,4,Chet Holmgren,,15,6,1,0,1,32,,,,,,
,,  Chris ,5,Jalen Williams,,19,5,5,1,0,42,,,,,,
,,  Foram ,7,Andrew Nembhard,,11,4,4,3,0,36,,,,,,
,,  Jake,1,Shai Gilgeous-Alexander,,34,5,8,4,1,75,,,,,,
,,  Mark,3,Pascal Siakam,,15,7,4,0,2,43,,,,,,
,,  -,,-,,,,,,,0,,DRAFT ORDER,,,,
,,  Todd,2,Tyrese Haliburton,,17,3,6,2,2,47,,,,,,
,,  Tyler,6,Myles Turner,,16,4,4,0,0,32,,The person with the least points from each game picks first the following game. Draft order proceeds in that fashion until the person with most points from the previous game picks last. Tie goes to the lower seed from previous game. ,,,,
,3,  Andrew,2,Tyrese Haliburton ,,22,9,11,2,1,71,,,,,,
,,  Chris ,4,Chet Holmgren,,20,10,2,1,0,47,,,,,,
,,  Foram ,3,Jalen Williams,,26,6,3,1,0,47,,,,,,
,,  Jake,7,Myles Turner,,9,2,1,1,5,33,,,,,,
,,  Mark,5,Alex Caruso,,8,5,4,2,0,32,,,,,,
,,  -,,-,,,,,,,0,,SCORING,,,,
,,  Todd,6,Pascal Siakam,,21,6,4,2,1,50,,,,,,
,,  Tyler,1,Shai Gilgeous-Alexander,,24,8,4,0,3,57,,1 point   - Each point scored (PTS),,,,
,4,  Andrew,7,Myles Turner,,12,2,2,0,0,20,,2 points - Each rebound (REB),,,,
,,  Chris ,3,Alex Caruso,,20,3,0,5,1,44,,2 points - Each assists (AST),,,,
,,  Foram ,4,Pascal Siakam,,20,8,5,5,1,64,,3 points - Each steal (STL),,,,
,,  Jake,2,Tyrese Haliburton,,18,2,7,2,0,42,,3 points - Each block (BLK),,,,
,,  Mark,1,Shai Gilgeous-Alexander,,35,3,0,3,1,53,,Leaders in each category are listed in bold.,,,,
,,  -,,-,,,,,,,0,,,,,,
,,  Todd,5,Jalen Williams,,27,7,3,0,0,47,,WINNER,,,,
,,  Tyler,6,Chet Holmgren,,14,15,1,1,1,52,,The person with the most cumulative points throughout the Finals wins!,,,,
,5,  Andrew,1,Shai Gilgeous-Alexander,,31,2,10,2,4,73,,,,,,
,,  Chris ,3,Tyrese Haliburton,,4,7,6,0,0,30,,,,,,
,,  Foram ,7,Chet Holmgren,,9,11,0,1,3,43,,,,,,
,,  Jake,2,Pascal Siakam,,28,6,5,3,2,65,,Mozgov Rule ,,,,
,,  Mark,6,TJ McConnell ,,18,4,4,2,0,40,,,,,,
,,  -,,-,,,,,,,0,,If the player you drafted plays less than 5 mins in the first half then you can switch to any other available player at half time. You void any points acquired by your original player and assume all of the points for your new player. The player must have played at least 5 mins in the previous game.,,,,
,,  Todd,4,Myles Turner,,13,6,1,1,0,30,,,,,,
,,  Tyler,5,Jalen Williams,,40,6,4,1,0,63,,,,,,
,6,  Andrew,7,TJ McConnell,,12,9,6,4,0,54,,,,,,
,,  Chris ,2,Myles Turner,,3,4,1,0,0,13,,,,,,
,,  Foram ,4,Tyrese Haliburton,,14,1,5,2,0,32,,,,,,
,,  Jake,6,Jalen Williams,,16,3,1,0,0,24,,,,,,
,,  Mark,3,Chet Holmgren,,4,6,0,0,0,16,,,,,,
,,  -,,-,,,,,,,0,,,,,,
,,  Todd,1,Shai Gilgeous-Alexander,,21,4,2,0,0,33,,,,,,
,,  Tyler,5,Pascal Siakam,,16,13,3,0,1,51,,,,,,
,7,  Andrew,7,Pascal Siakam,,16,4,1,1,1,32,,,,,,
,,  Chris ,1,Shai Gilgeous-Alexander,,29,5,12,1,2,72,,,,,,
,,  Foram ,4,TJ McConnell,,16,6,3,1,1,40,,,,,,
,,  Jake,3,Chet Holmgren,,17,8,0,1,5,51,,,,,,
,,  Mark,2,Jalen Williams,,20,4,4,2,0,42,,,,,,
,,  -,,,,,,,,,0,,,,,,
,,  Todd,5,Alex Caruso,,10,3,0,3,1,28,,,,,,
,,  Tyler,6,Andrew Nembhard,,15,5,6,0,0,37,,,,,,